Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Javier Manquillo,es ESP,DF,28-318,0.1,4,7,57.1,68,34,2,3,66.7,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2022-2023,Newcastle United
Jamal Lewis,nir NIR,DF,25-053,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2022-2023,Newcastle United
Emil Krafth,se SWE,DF,28-229,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Newcastle United
Squad Total,,,28.1,26.0,9331,12068,77.3,165922,61185,4255,4906,86.7,3777,4509,83.8,1040,1928,53.9,24,30.2,29.5,-6.2,277,731,266,48,1094,,2022-2023,Newcastle United
Opponent Total,,,27.6,26.0,8847,11616,76.2,158452,57544,4037,4604,87.7,3687,4416,83.5,935,1957,47.8,15,19.4,20.3,-4.4,209,715,159,42,887,,2022-2023,Newcastle United
Alisson,br BRA,GK,30-168,26.0,866,1008,85.9,19958,12734,222,224,99.1,450,458,98.3,190,317,59.9,1,0.3,0.0,0.7,1,11,0,0,1,Matches,2022-2023,Liverpool
Mohamed Salah,eg EGY,FW,30-277,25.7,541,716,75.6,7030,2099,339,409,82.9,142,187,75.9,22,35,62.9,7,5.1,4.9,1.9,47,32,51,5,91,Matches,2022-2023,Liverpool
Trent Alexander-Arnold,eng ENG,DF,24-163,21.5,1403,1912,73.4,26480,10767,657,741,88.7,518,676,76.6,208,427,48.7,2,6.2,5.0,-4.2,48,145,58,20,160,Matches,2022-2023,Liverpool
Virgil van Dijk,nl NED,DF,31-254,21.5,1548,1729,89.5,31048,10985,502,542,92.6,858,913,94.0,173,244,70.9,0,0.2,0.5,-0.2,4,111,5,0,92,Matches,2022-2023,Liverpool
Andrew Robertson,sct SCO,DF,29-008,19.7,1164,1478,78.8,19727,5960,562,630,89.2,486,589,82.5,96,190,50.5,6,4.3,4.8,1.7,39,64,27,12,106,Matches,2022-2023,Liverpool
Fabinho,br BRA,MF,29-147,18.7,1003,1145,87.6,16456,3837,488,530,92.1,394,428,92.1,84,123,68.3,0,0.8,0.7,-0.8,9,71,9,0,101,Matches,2022-2023,Liverpool
Harvey Elliott,eng ENG,"MF,FW",19-349,15.9,708,888,79.7,10632,2726,397,444,89.4,249,312,79.8,38,73,52.1,2,3.1,4.0,-1.1,20,60,36,6,114,Matches,2022-2023,Liverpool
Darwin Núñez,uy URU,FW,23-268,15.0,192,302,63.6,2945,650,90,130,69.2,62,96,64.6,16,22,72.7,3,4.7,2.3,-1.7,23,8,11,1,25,Matches,2022-2023,Liverpool
Jordan Henderson,eng ENG,MF,32-275,14.0,860,1041,82.6,14446,3854,431,475,90.7,324,379,85.5,78,130,60.0,1,1.3,1.8,-0.3,14,104,21,4,115,Matches,2022-2023,Liverpool
Thiago Alcántara,es ESP,MF,31-342,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107,Matches,2022-2023,Liverpool
Joe Gomez,eng ENG,DF,25-300,14.3,1040,1217,85.5,20938,6688,292,331,88.2,618,673,91.8,114,178,64.0,0,0.2,0.6,-0.2,1,109,3,0,95,Matches,2022-2023,Liverpool
Roberto Firmino,br BRA,"FW,MF",31-168,11.5,387,491,78.8,5227,1666,239,277,86.3,109,137,79.6,17,25,68.0,4,2.3,1.9,1.7,20,42,17,1,70,Matches,2022-2023,Liverpool
Joël Matip,cm CMR,DF,31-223,9.1,573,664,86.3,10398,3449,222,252,88.1,297,322,92.2,46,70,65.7,0,0.3,0.4,-0.3,3,40,6,0,44,Matches,2022-2023,Liverpool
Cody Gakpo,nl NED,FW,23-316,7.3,93,144,64.6,1161,367,53,77,68.8,28,45,62.2,2,4,50.0,0,0.5,0.3,-0.5,7,12,3,0,16,Matches,2022-2023,Liverpool
Ibrahima Konaté,fr FRA,DF,23-298,7.2,439,498,88.2,7878,3250,171,190,90.0,231,250,92.4,28,46,60.9,0,0.0,0.3,0.0,0,21,1,0,29,Matches,2022-2023,Liverpool
Luis Díaz,co COL,FW,26-065,6.8,203,256,79.3,3051,597,124,150,82.7,63,75,84.0,12,14,85.7,2,1.0,0.8,1.0,6,18,5,1,25,Matches,2022-2023,Liverpool
James Milner,eng ENG,"DF,MF",37-074,8.0,435,568,76.6,7806,2716,197,219,90.0,187,221,84.6,43,95,45.3,1,0.8,1.6,0.2,11,47,13,4,53,Matches,2022-2023,Liverpool
Kostas Tsimikas,gr GRE,DF,26-311,6.0,330,428,77.1,5641,1547,164,190,86.3,116,142,81.7,41,75,54.7,4,1.5,1.1,2.5,15,13,6,3,21,Matches,2022-2023,Liverpool
Stefan Bajcetic,es ESP,MF,18-148,5.8,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,-0.4,4,17,7,1,24,Matches,2022-2023,Liverpool
Diogo Jota,pt POR,"FW,MF",26-105,5.0,107,153,69.9,1405,381,68,89,76.4,26,36,72.2,4,9,44.4,2,1.5,0.9,0.5,10,8,5,1,15,Matches,2022-2023,Liverpool
Fabio Carvalho,pt POR,"MF,FW",20-201,3.8,114,139,82.0,1526,270,70,81,86.4,30,37,81.1,5,6,83.3,0,0.1,0.2,-0.1,1,7,2,0,11,Matches,2022-2023,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-216,3.5,73,99,73.7,1206,331,38,42,90.5,24,33,72.7,7,13,53.8,0,0.9,0.2,-0.9,5,8,2,0,12,Matches,2022-2023,Liverpool
Naby Keïta,gn GUI,MF,28-037,3.3,129,168,76.8,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,0,0.7,0.2,-0.7,8,15,2,0,15,Matches,2022-2023,Liverpool
Curtis Jones,eng ENG,"MF,FW",22-048,2.2,121,141,85.8,1845,464,63,71,88.7,49,52,94.2,5,8,62.5,0,0.2,0.3,-0.2,2,10,3,0,18,Matches,2022-2023,Liverpool
Nathaniel Phillips,eng ENG,DF,25-363,0.7,71,82,86.6,1364,602,32,34,94.1,27,29,93.1,9,14,64.3,0,0.0,0.0,0.0,0,7,0,0,9,Matches,2022-2023,Liverpool
Ben Doak,sct SCO,FW,17-128,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2022-2023,Liverpool
Bobby Clark,eng ENG,MF,18-040,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches,2022-2023,Liverpool
Squad Total,,,28.1,26.0,13453,16520,81.4,238527,81714,5996,6767,88.6,5705,6575,86.8,1383,2309,59.9,35,36.9,34.6,-1.9,315,1075,313,59,1371,,2022-2023,Liverpool
Opponent Total,,,27.3,26.0,8316,11146,74.6,147050,57722,3878,4566,84.9,3316,4028,82.3,879,1871,47.0,19,26.0,19.6,-7.0,193,627,172,48,801,,2022-2023,Liverpool
Lewis Dunk,eng ENG,DF,31-118,25.0,1948,2155,90.4,37671,13995,676,714,94.7,1032,1083,95.3,213,312,68.3,0,0.6,0.4,-0.6,5,123,4,0,96,Matches,2022-2023,Brighton & Hove Albion
Pascal Groß,de GER,"MF,DF",31-277,24.2,1193,1533,77.8,19191,5631,617,683,90.3,453,550,82.4,86,209,41.1,4,6.9,5.8,-2.9,51,96,39,4,169,Matches,2022-2023,Brighton & Hove Albion
Solly March,eng ENG,"FW,DF",28-242,23.9,732,1023,71.6,13076,3131,338,404,83.7,290,386,75.1,83,159,52.2,4,5.1,4.2,-1.1,39,48,39,11,109,Matches,2022-2023,Brighton & Hove Albion
Moisés Caicedo,ec ECU,MF,21-137,23.2,1298,1469,88.4,20234,5369,703,764,92.0,461,511,90.2,95,116,81.9,1,1.5,1.5,-0.5,25,116,27,4,148,Matches,2022-2023,Brighton & Hove Albion
Robert Sánchez,es ESP,GK,25-121,22.0,571,748,76.3,13022,8424,184,185,99.5,274,283,96.8,106,265,40.0,0,0.0,0.0,0.0,0,11,0,0,0,Matches,2022-2023,Brighton & Hove Albion
Alexis Mac Allister,ar ARG,MF,24-085,21.2,1042,1198,87.0,16944,4209,527,578,91.2,420,458,91.7,70,97,72.2,1,2.2,2.2,-1.2,24,106,18,1,113,Matches,2022-2023,Brighton & Hove Albion
Pervis Estupiñán,ec ECU,DF,25-057,17.5,940,1154,81.5,13557,4348,553,617,89.6,318,383,83.0,38,68,55.9,3,2.9,2.1,0.1,28,60,28,11,97,Matches,2022-2023,Brighton & Hove Albion
Joël Veltman,nl NED,DF,31-063,19.1,1025,1229,83.4,17901,5978,419,468,89.5,520,591,88.0,70,120,58.3,1,0.5,0.8,0.5,7,136,10,4,128,Matches,2022-2023,Brighton & Hove Albion
Adam Webster,eng ENG,DF,28-074,16.6,1109,1266,87.6,20666,7432,405,441,91.8,593,656,90.4,102,143,71.3,0,0.1,0.3,-0.1,3,92,4,1,84,Matches,2022-2023,Brighton & Hove Albion
Leandro Trossard,be BEL,"FW,MF",28-105,14.6,379,529,71.6,6222,1920,199,236,84.3,124,178,69.7,40,63,63.5,2,2.1,2.1,-0.1,23,42,25,7,67,Matches,2022-2023,Brighton & Hove Albion
Danny Welbeck,eng ENG,FW,32-113,14.0,211,253,83.4,2533,457,133,152,87.5,59,67,88.1,2,7,28.6,2,2.5,1.3,-0.5,16,20,8,0,29,Matches,2022-2023,Brighton & Hove Albion
Kaoru Mitoma,jp JPN,"FW,MF",25-303,14.1,487,602,80.9,6797,1535,314,349,90.0,142,177,80.2,18,31,58.1,3,3.9,3.5,-0.9,21,31,18,0,57,Matches,2022-2023,Brighton & Hove Albion
Adam Lallana,eng ENG,"MF,FW",34-313,8.0,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,Matches,2022-2023,Brighton & Hove Albion
Levi Colwill,eng ENG,DF,20-021,6.1,462,517,89.4,8317,3242,182,198,91.9,235,256,91.8,39,51,76.5,0,0.1,0.2,-0.1,2,27,3,0,24,Matches,2022-2023,Brighton & Hove Albion
Evan Ferguson,ie IRL,FW,18-151,5.2,95,117,81.2,1278,125,65,76,85.5,26,30,86.7,3,4,75.0,2,0.3,0.4,1.7,4,1,3,0,5,Matches,2022-2023,Brighton & Hove Albion
Tariq Lamptey,gh GHA,DF,22-170,5.0,239,302,79.1,3509,854,130,149,87.2,96,116,82.8,5,21,23.8,0,0.2,0.7,-0.2,4,14,8,5,26,Matches,2022-2023,Brighton & Hove Albion
Jason Steele,eng ENG,GK,32-213,3.0,97,109,89.0,1804,1267,48,48,100.0,34,34,100.0,14,26,53.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Brighton & Hove Albion
Deniz Undav,de GER,"FW,MF",26-243,2.8,51,63,81.0,553,115,36,41,87.8,9,11,81.8,1,4,25.0,0,0.7,0.7,-0.7,5,1,2,0,3,Matches,2022-2023,Brighton & Hove Albion
Enock Mwepu,zm ZAM,"FW,MF",25-077,2.4,61,78,78.2,819,126,42,50,84.0,15,17,88.2,3,5,60.0,1,0.5,0.2,0.5,3,5,2,0,6,Matches,2022-2023,Brighton & Hove Albion
Billy Gilmour,sct SCO,MF,21-281,1.8,142,154,92.2,2460,520,63,67,94.0,64,67,95.5,13,16,81.3,0,0.1,0.4,-0.1,1,10,4,0,17,Matches,2022-2023,Brighton & Hove Albion
Jeremy Sarmiento,ec ECU,MF,20-276,2.0,53,67,79.1,694,191,32,38,84.2,16,19,84.2,1,2,50.0,1,0.2,0.3,0.8,2,4,5,1,11,Matches,2022-2023,Brighton & Hove Albion
Jan Paul van Hecke,nl NED,DF,22-284,0.9,95,99,96.0,1928,467,21,21,100.0,69,71,97.2,5,6,83.3,0,0.0,0.0,0.0,0,13,0,0,10,Matches,2022-2023,Brighton & Hove Albion
Julio César Enciso,py PAR,"FW,MF",19-055,1.7,27,37,73.0,303,94,18,22,81.8,7,10,70.0,0,1,0.0,0,0.1,0.1,-0.1,2,3,1,0,6,Matches,2022-2023,Brighton & Hove Albion
Facundo Buonanotte,ar ARG,"FW,MF",18-086,0.6,20,23,87.0,237,32,17,19,89.5,2,2,100.0,1,2,50.0,1,0.1,0.0,0.9,3,2,0,0,1,Matches,2022-2023,Brighton & Hove Albion
Andrew Moran,ie IRL,FW,19-155,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Brighton & Hove Albion
Squad Total,,,27.4,25.0,12540,15044,83.4,212762,70118,5896,6515,90.5,5316,6031,88.1,1014,1737,58.4,27,31.0,28.4,-4.0,282,984,257,50,1239,,2022-2023,Brighton & Hove Albion
Opponent Total,,,27.3,25.0,8041,10370,77.5,138988,52711,3800,4335,87.7,3274,3877,84.4,747,1586,47.1,16,17.1,15.3,-1.1,173,558,150,31,713,,2022-2023,Brighton & Hove Albion
David Raya,es ESP,GK,27-185,27.0,753,1152,65.4,25284,19666,99,103,96.1,314,321,97.8,339,723,46.9,0,0.1,0.1,-0.1,2,56,3,0,10,Matches,2022-2023,Brentford
Bryan Mbeumo,cm CMR,FW,23-224,23.2,467,693,67.4,7520,2295,266,322,82.6,132,205,64.4,51,99,51.5,3,4.0,3.6,-1.0,33,21,36,12,63,Matches,2022-2023,Brentford
Mathias Jensen,dk DEN,MF,27-077,23.0,792,1152,68.8,15749,6274,342,415,82.4,285,398,71.6,142,275,51.6,4,2.7,2.9,1.3,32,90,25,10,102,Matches,2022-2023,Brentford
Rico Henry,eng ENG,DF,25-254,25.7,606,852,71.1,9413,3274,328,385,85.2,218,297,73.4,41,115,35.7,2,2.3,2.3,-0.3,19,52,27,11,77,Matches,2022-2023,Brentford
Ben Mee,eng ENG,DF,33-179,25.4,968,1287,75.2,18653,7709,362,430,84.2,468,574,81.5,127,241,52.7,0,0.2,0.6,-0.2,4,54,5,0,49,Matches,2022-2023,Brentford
Ivan Toney,eng ENG,FW,27-003,24.9,369,632,58.4,4605,1513,238,344,69.2,80,142,56.3,17,37,45.9,4,3.6,2.6,0.4,20,42,21,4,60,Matches,2022-2023,Brentford
Ethan Pinnock,jm JAM,DF,29-294,19.0,558,729,76.5,10121,3539,211,255,82.7,281,336,83.6,52,105,49.5,0,0.7,0.7,-0.7,5,26,1,1,34,Matches,2022-2023,Brentford
Vitaly Janelt,de GER,"MF,DF",24-313,17.6,563,723,77.9,9735,2773,287,330,87.0,200,246,81.3,64,103,62.1,1,1.1,1.1,-0.1,10,51,11,5,60,Matches,2022-2023,Brentford
Christian Nørgaard,dk DEN,MF,29-009,15.4,499,670,74.5,8060,2925,256,309,82.8,197,263,74.9,35,60,58.3,3,3.1,1.7,-0.1,11,62,7,2,62,Matches,2022-2023,Brentford
Aaron Hickey,sct SCO,DF,20-282,12.8,420,510,82.4,6375,1963,244,270,90.4,149,180,82.8,20,41,48.8,0,0.2,0.4,-0.2,2,41,8,3,53,Matches,2022-2023,Brentford
Yoane Wissa,cd COD,FW,26-197,13.1,179,260,68.8,2382,432,121,144,84.0,38,59,64.4,9,23,39.1,2,2.2,0.8,-0.2,9,18,7,0,23,Matches,2022-2023,Brentford
Josh Dasilva,eng ENG,MF,24-147,12.5,403,497,81.1,6762,1666,204,230,88.7,159,178,89.3,34,58,58.6,2,1.4,1.5,0.6,10,29,22,5,52,Matches,2022-2023,Brentford
Mads Roerslev,dk DEN,DF,23-268,10.4,166,257,64.6,2578,960,92,119,77.3,56,75,74.7,13,40,32.5,0,1.0,0.7,-1.0,7,12,6,4,16,Matches,2022-2023,Brentford
Kristoffer Ajer,no NOR,DF,24-336,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches,2022-2023,Brentford
Mathias Jørgensen,dk DEN,DF,32-330,8.3,272,339,80.2,4632,1970,118,133,88.7,138,170,81.2,12,29,41.4,0,0.1,0.1,-0.1,1,23,0,0,22,Matches,2022-2023,Brentford
Pontus Jansson,se SWE,DF,32-034,5.9,196,244,80.3,3815,1212,54,65,83.1,124,141,87.9,18,31,58.1,0,0.0,0.1,0.0,0,9,0,0,13,Matches,2022-2023,Brentford
Mikkel Damsgaard,dk DEN,"MF,FW",22-259,5.8,160,238,67.2,2247,775,91,111,82.0,48,71,67.6,11,25,44.0,0,0.9,1.0,-0.9,8,22,8,1,25,Matches,2022-2023,Brentford
Frank Onyeka,ng NGA,MF,25-077,5.6,118,160,73.8,1875,566,60,76,78.9,46,58,79.3,7,14,50.0,1,0.5,0.7,0.5,5,14,3,0,20,Matches,2022-2023,Brentford
Shandon Baptiste,gd GRN,MF,24-345,5.0,173,208,83.2,2835,781,93,106,87.7,63,71,88.7,12,19,63.2,0,0.7,0.5,-0.7,6,15,8,2,33,Matches,2022-2023,Brentford
Keane Lewis-Potter,eng ENG,"FW,MF",22-025,3.6,49,86,57.0,600,118,33,50,66.0,12,17,70.6,1,10,10.0,1,1.2,0.3,-0.2,5,2,3,1,6,Matches,2022-2023,Brentford
Kevin Schade,de GER,"FW,MF",21-112,2.1,30,54,55.6,311,60,18,28,64.3,6,11,54.5,0,2,0.0,1,0.5,0.2,0.5,3,0,1,0,3,Matches,2022-2023,Brentford
Saman Ghoddos,ir IRN,"MF,FW",29-194,1.0,38,52,73.1,573,201,22,24,91.7,13,17,76.5,3,10,30.0,0,0.3,0.2,-0.3,2,2,0,0,5,Matches,2022-2023,Brentford
Sergi Canós,es ESP,"FW,DF",26-045,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches,2022-2023,Brentford
Mads Bech Sørensen,dk DEN,"DF,MF",24-071,0.2,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,2022-2023,Brentford
Halil Dervişoğlu,tr TUR,MF,23-101,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Brentford
Squad Total,,,26.8,27.0,8068,11194,72.1,149015,62684,3687,4429,83.2,3136,3977,78.9,1033,2106,49.1,24,26.6,22.1,-2.6,196,665,206,62,822,,2022-2023,Brentford
Opponent Total,,,27.2,27.0,11126,14130,78.7,183600,63896,5589,6326,88.3,4279,5091,84.1,899,1891,47.5,23,24.1,24.2,-1.1,295,963,269,63,1132,,2022-2023,Brentford
Tim Ream,us USA,DF,35-165,27.0,1351,1564,86.4,29274,10320,332,374,88.8,780,842,92.6,229,323,70.9,0,0.1,0.2,-0.1,2,111,0,0,98,Matches,2022-2023,Fulham
Andreas Pereira,br BRA,MF,27-077,24.9,573,881,65.0,10859,3730,267,338,79.0,189,263,71.9,99,208,47.6,6,5.0,3.6,1.0,56,77,19,9,101,Matches,2022-2023,Fulham
Harrison Reed,eng ENG,MF,28-051,23.7,705,922,76.5,11023,2781,373,441,84.6,249,299,83.3,54,100,54.0,1,2.2,1.3,-1.2,25,59,22,8,73,Matches,2022-2023,Fulham
Bernd Leno,de GER,GK,31-015,25.0,736,942,78.1,18452,11405,168,168,100.0,403,405,99.5,165,367,45.0,0,0.0,0.0,0.0,1,10,0,0,0,Matches,2022-2023,Fulham
Bobby Reid,jm JAM,"FW,DF",30-045,22.9,544,778,69.9,8334,2760,286,351,81.5,199,276,72.1,30,73,41.1,1,1.4,1.1,-0.4,16,31,28,9,47,Matches,2022-2023,Fulham
João Palhinha,pt POR,MF,27-253,23.7,672,829,81.1,11625,2855,339,396,85.6,253,296,85.5,66,98,67.3,0,0.3,0.3,-0.3,3,82,3,0,73,Matches,2022-2023,Fulham
Antonee Robinson,us USA,DF,25-223,23.3,912,1248,73.1,15639,6588,412,476,86.6,392,512,76.6,88,193,45.6,1,1.1,1.3,-0.1,17,69,29,17,87,Matches,2022-2023,Fulham
Aleksandar Mitrović,rs SRB,FW,28-184,20.1,270,449,60.1,4300,877,154,231,66.7,78,122,63.9,30,48,62.5,1,2.1,1.1,-1.1,15,25,8,1,41,Matches,2022-2023,Fulham
Kenny Tete,nl NED,DF,27-161,19.6,772,1060,72.8,12130,4918,410,478,85.8,296,409,72.4,50,104,48.1,4,1.4,1.4,2.6,17,46,17,13,65,Matches,2022-2023,Fulham
Willian,br BRA,FW,34-222,16.2,449,575,78.1,7594,1543,230,269,85.5,153,189,81.0,52,83,62.7,2,2.5,1.4,-0.5,28,29,19,1,74,Matches,2022-2023,Fulham
Issa Diop,fr FRA,DF,26-069,15.7,817,958,85.3,16671,5286,232,264,87.9,494,535,92.3,88,148,59.5,0,0.0,0.1,0.0,1,52,3,0,54,Matches,2022-2023,Fulham
Tosin Adarabioyo,eng ENG,DF,25-176,13.2,526,652,80.7,10889,4013,134,152,88.2,334,376,88.8,53,106,50.0,0,0.0,0.1,0.0,1,39,2,0,40,Matches,2022-2023,Fulham
Neeskens Kebano,cd COD,FW,31-009,7.9,139,188,73.9,1850,476,83,94,88.3,40,53,75.5,4,9,44.4,3,1.4,0.8,1.6,11,2,9,3,21,Matches,2022-2023,Fulham
Carlos Vinícius,br BRA,FW,27-359,6.2,59,105,56.2,697,205,38,55,69.1,13,24,54.2,2,5,40.0,1,0.6,0.4,0.4,5,6,2,0,6,Matches,2022-2023,Fulham
Harry Wilson,wls WAL,FW,25-362,5.0,138,184,75.0,2058,353,79,89,88.8,49,60,81.7,7,20,35.0,0,0.1,0.2,-0.1,2,7,4,0,16,Matches,2022-2023,Fulham
Daniel James,wls WAL,FW,25-129,4.2,79,123,64.2,1061,216,54,64,84.4,20,34,58.8,2,9,22.2,0,0.3,0.2,-0.3,4,2,6,1,12,Matches,2022-2023,Fulham
Manor Solomon,il ISR,FW,23-238,3.1,86,102,84.3,1251,342,47,54,87.0,34,38,89.5,1,4,25.0,0,0.1,0.2,-0.1,3,3,3,0,15,Matches,2022-2023,Fulham
Saša Lukić,rs SRB,MF,26-218,2.3,120,132,90.9,2042,401,52,55,94.5,59,64,92.2,8,10,80.0,0,0.0,0.1,0.0,0,13,0,0,8,Matches,2022-2023,Fulham
Marek Rodák,sk SVK,GK,26-096,2.0,29,61,47.5,1170,1037,3,3,100.0,8,9,88.9,17,48,35.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Fulham
Layvin Kurzawa,fr FRA,DF,30-196,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,Matches,2022-2023,Fulham
Tom Cairney,sct SCO,MF,32-058,5.2,342,400,85.5,5634,1341,175,191,91.6,119,139,85.6,35,48,72.9,0,1.2,1.2,-1.2,10,37,11,4,50,Matches,2022-2023,Fulham
Kevin Mbabu,ch SUI,"DF,FW",27-334,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,0.6,2,4,5,3,8,Matches,2022-2023,Fulham
Jay Stansfield,eng ENG,FW,20-115,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,2022-2023,Fulham
Nathaniel Chalobah,eng ENG,MF,28-097,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2022-2023,Fulham
Josh Onomah,eng ENG,MF,25-326,0.2,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Fulham
Luke Harris,wls WAL,"MF,FW",17-350,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2022-2023,Fulham
Cédric Soares,pt POR,DF,31-200,0.1,8,14,57.1,107,53,6,7,85.7,2,4,50.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,2022-2023,Fulham
Shane Duffy,ie IRL,"FW,DF",31-077,0.1,2,4,50.0,20,9,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Fulham
Tyrese Francois,au AUS,FW,22-246,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2022-2023,Fulham
Squad Total,,,29.0,27.0,9457,12356,76.5,174526,62095,3950,4631,85.3,4210,5018,83.9,1084,2022,53.6,21,20.2,15.7,0.8,220,709,191,70,894,,2022-2023,Fulham
Opponent Total,,,27.3,27.0,11054,13952,79.2,193006,68334,5155,5918,87.1,4538,5248,86.5,1085,2002,54.2,23,33.4,25.3,-10.4,263,798,254,63,1021,,2022-2023,Fulham
Kai Havertz,de GER,"FW,MF",23-281,22.0,539,666,80.9,6684,1306,340,408,83.3,146,162,90.1,12,17,70.6,1,3.1,2.3,-2.1,29,34,16,2,61,Matches,2022-2023,Chelsea
Thiago Silva,br BRA,DF,38-178,20.1,1462,1619,90.3,27724,11096,536,565,94.9,776,809,95.9,139,216,64.4,2,0.4,0.6,1.6,4,90,10,0,82,Matches,2022-2023,Chelsea
Mason Mount,eng ENG,"MF,FW",24-068,18.1,579,769,75.3,8638,2224,344,401,85.8,165,216,76.4,44,83,53.0,2,3.0,2.8,-1.0,30,54,26,5,97,Matches,2022-2023,Chelsea
Kepa Arrizabalaga,es ESP,GK,28-167,18.5,578,680,85.0,12682,7545,208,210,99.0,238,239,99.6,130,229,56.8,0,0.0,0.0,0.0,0,5,0,0,0,Matches,2022-2023,Chelsea
Marc Cucurella,es ESP,DF,24-240,15.9,942,1124,83.8,14242,4349,520,561,92.7,341,390,87.4,50,98,51.0,2,0.4,0.7,1.6,8,62,9,6,56,Matches,2022-2023,Chelsea
Kalidou Koulibaly,sn SEN,DF,31-272,16.9,1084,1253,86.5,19126,7639,477,505,94.5,505,553,91.3,83,155,53.5,1,0.4,0.4,0.6,6,78,7,1,68,Matches,2022-2023,Chelsea
Raheem Sterling,eng ENG,"FW,MF",28-101,14.9,363,489,74.2,4609,1028,225,268,84.0,98,134,73.1,14,24,58.3,2,3.5,2.5,-1.5,26,19,25,7,42,Matches,2022-2023,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-055,14.0,619,728,85.0,9209,2330,367,414,88.6,214,237,90.3,27,35,77.1,0,1.2,1.5,-1.2,11,62,10,0,70,Matches,2022-2023,Chelsea
Jorginho,it ITA,MF,31-089,14.2,749,884,84.7,11991,3508,379,421,90.0,301,348,86.5,51,74,68.9,0,0.4,0.4,-0.4,7,87,9,0,80,Matches,2022-2023,Chelsea
Mateo Kovačić,hr CRO,MF,28-317,13.0,775,912,85.0,12785,3908,385,432,89.1,316,347,91.1,54,89,60.7,1,1.4,1.3,-0.4,15,108,15,1,103,Matches,2022-2023,Chelsea
César Azpilicueta,es ESP,DF,33-203,12.3,661,818,80.8,9845,3411,370,401,92.3,267,326,81.9,14,59,23.7,0,1.0,1.0,-1.0,10,31,16,4,59,Matches,2022-2023,Chelsea
Trevoh Chalobah,eng ENG,DF,23-257,11.2,607,686,88.5,11164,3231,221,248,89.1,333,358,93.0,47,65,72.3,0,0.1,0.1,-0.1,1,27,1,0,32,Matches,2022-2023,Chelsea
